iter	Passed	Remaining
0	143	143513
1	151	75689
2	159	53095
3	168	41863
4	177	35225
5	184	30566
6	194	27609
7	203	25264
8	210	23169
9	217	21577
10	225	20279
11	232	19109
12	240	18269
13	247	17442
14	256	16875
15	263	16224
16	272	15762
17	279	15248
18	288	14905
19	296	14515
20	306	14283
21	312	13908
22	322	13686
23	329	13395
24	337	13143
25	343	12882
26	352	12716
27	360	12517
28	369	12378
29	376	12164
30	383	11985
31	393	11893
32	402	11799
33	409	11624
34	419	11557
35	426	11426
36	437	11373
37	444	11245
38	453	11176
39	460	11044
40	469	10978
41	476	10860
42	484	10790
43	493	10723
44	503	10678
45	509	10566
46	518	10516
47	526	10441
48	534	10374
49	541	10279
50	549	10228
51	557	10157
52	566	10120
53	573	10041
54	580	9973
55	587	9901
56	597	9878
57	603	9802
58	612	9761
59	618	9696
60	625	9621
61	633	9589
62	640	9524
63	649	9496
64	655	9436
65	665	9414
66	674	9398
67	683	9366
68	690	9313
69	699	9299
70	713	9330
71	719	9279
72	726	9230
73	734	9197
74	743	9174
75	750	9129
76	758	9095
77	765	9047
78	771	8999
79	781	8981
80	787	8936
81	797	8923
82	804	8890
83	812	8861
84	819	8821
85	827	8799
86	835	8763
87	844	8751
88	851	8714
89	859	8689
90	866	8657
91	875	8645
92	882	8602
93	890	8586
94	899	8571
95	907	8548
96	914	8517
97	923	8499
98	931	8480
99	940	8464
100	946	8429
101	954	8407
102	961	8377
103	968	8343
104	977	8327
105	983	8294
106	992	8283
107	999	8257
108	1008	8245
109	1015	8218
110	1024	8205
111	1032	8182
112	1041	8172
113	1048	8146
114	1055	8123
115	1064	8111
116	1072	8094
117	1079	8065
118	1087	8053
119	1094	8023
120	1100	7996
121	1109	7983
122	1117	7964
123	1125	7952
124	1132	7927
125	1139	7900
126	1145	7877
127	1155	7870
128	1162	7850
129	1172	7845
130	1178	7820
131	1188	7815
132	1194	7789
133	1204	7783
134	1211	7762
135	1221	7758
136	1228	7737
137	1236	7724
138	1243	7700
139	1250	7680
140	1258	7664
141	1266	7653
142	1273	7631
143	1280	7613
144	1288	7594
145	1294	7571
146	1303	7565
147	1312	7553
148	1321	7547
149	1328	7528
150	1335	7506
151	1342	7487
152	1351	7479
153	1358	7463
154	1367	7455
155	1374	7436
156	1381	7418
157	1388	7401
158	1397	7393
159	1404	7374
160	1413	7365
161	1421	7351
162	1428	7333
163	1437	7326
164	1443	7305
165	1452	7298
166	1460	7283
167	1466	7264
168	1472	7241
169	1481	7234
